Payment type,Payment sub type,Count,Amount,Tips,Grat,Tax amount,Refunds,Tip refunds,Legacy tips,Total,Tips/Grat %
Cash,,1,30.48,0.0,0.0,2.48,0,0,0.00,30.48,0.0
Credit/debit,,22,2928.28,686.45,19.8,238.68,0,0,686.45,3634.53,25.7
Credit/debit,AMEX,7,1031.91,223.44,0.0,84.11,0,0,223.44,1255.35,22.8
Credit/debit,DISCOVER,3,239.52,45.35,0.0,19.52,0,0,45.35,284.87,20.6
Credit/debit,MASTERCARD,3,216.43,30.0,0.0,17.63,0,0,30.00,246.43,13.0
Credit/debit,VISA,9,1440.42,387.66,19.8,117.42,0,0,387.66,1847.88,30.8
Gift Card,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,
Other,,4,130.03,0.0,0.0,2.03,0,0,0.00,130.03,0.0
Other,Room Charge,1,25.03,0.0,0.0,2.03,0,0,0.00,25.03,0.0
Other,Voucher,3,105.0,0.0,0.0,0.0,0,0,0.00,105.00,0.0
Total,,27,3088.79,686.45,19.8,243.19,0.0,0.0,686.45,3795.04,24.3
