Location,Order Id,Order #,Sent Date,Order Date,Check Id,Server,Table,Dining Area,Service,Dining Option,Item Selection Id,Modifier Id,Master Id,Modifier SKU,Modifier PLU,Modifier,Option Group ID,Option Group Name,Parent Menu Selection Item ID,Parent Menu Selection,Sales Category,Gross Price,Discount,Net Price,Qty,Void?,Void Reason ID,Void Reason
3017 31st street.,1400000004813147511,2,3/22/26 8:02 AM,3/22/26 8:01 AM,1400000004813147510,Marianna  Kapandriti,400,Bar,Breakfast,,1400000004813147502,,,,,Nobacon,,,1400000001585006830,Bacon Egg Cheese,,0.00,0.00,0.00,1.0,false,,
3017 31st street.,1400000004813663788,5,3/22/26 9:46 AM,3/22/26 9:44 AM,1400000004813663787,Marianna  Kapandriti,100,Bar,Breakfast,,1400000004813663774,,,,,No Bacon,,,1400000001541739344,American style Breakfast,,0.00,0.00,0.00,1.0,false,,
3017 31st street.,1400000004825898086,6,3/22/26 5:27 PM,3/22/26 5:24 PM,1400000004825898082,Theofilos Adalis,30,Dining Room,Dinner,,1400000004825996248,1400000001509788642,1400000001509788643,,,#2,1400000001509788631,Seat numbers,1400000000913493100,Kokkinisto,,0.00,0.00,0.00,1.0,false,,
3017 31st street.,1400000004825898086,6,3/22/26 5:27 PM,3/22/26 5:24 PM,1400000004825898082,Theofilos Adalis,30,Dining Room,Dinner,,1400000004825997753,1400000001509835291,1400000001509835292,,,#4,1400000001509788631,Seat numbers,1400000000913493108,Kebab,,0.00,0.00,0.00,1.0,false,,
3017 31st street.,1400000004826002051,7,3/22/26 5:38 PM,3/22/26 5:27 PM,1400000004826002050,Theofilos Adalis,14,Dining Room,Dinner,,1400000004826324146,,,,,Grilled,,,1400000000913065088,Calamari Fried,,0.00,0.00,0.00,1.0,false,,
3017 31st street.,1400000004826002051,7,3/22/26 5:38 PM,3/22/26 5:27 PM,1400000004826002050,Theofilos Adalis,14,Dining Room,Dinner,,1400000004826326002,,,,,Feta On Side,,,1400000000913111169,Greek Salad,,0.00,0.00,0.00,1.0,false,,
3017 31st street.,1400000004826002051,7,3/22/26 5:38 PM,3/22/26 5:27 PM,1400000004826002050,Theofilos Adalis,14,Dining Room,Dinner,,1400000004826326007,,,,,Spaggeti,,,1400000000913492838,Lobster Pasta 1,,0.00,0.00,0.00,1.0,false,,
3017 31st street.,1400000004826002051,7,3/22/26 5:38 PM,3/22/26 5:27 PM,1400000004826002050,Theofilos Adalis,14,Dining Room,Dinner,,1400000004826326008,1400000001509788634,1400000001509788635,,,#Share,1400000001509788631,Seat numbers,1400000000913492838,Lobster Pasta 1,,0.00,0.00,0.00,1.0,false,,
3017 31st street.,1400000004826002051,7,3/22/26 5:38 PM,3/22/26 5:27 PM,1400000004826002050,Theofilos Adalis,14,Dining Room,Dinner,,1400000004826326009,,,,,Al Dente,,,1400000000913492838,Lobster Pasta 1,,0.00,0.00,0.00,1.0,false,,
3017 31st street.,1400000004827045343,10,3/22/26 6:03 PM,3/22/26 6:00 PM,1400000004827045341,Theofilos Adalis,21,Dining Room,Dinner,,1400000004827160585,1400000001509788638,1400000001509788639,,,#1,1400000001509788631,Seat numbers,1400000000913493108,Kebab,,0.00,0.00,0.00,2.0,false,,
3017 31st street.,1400000004827045343,10,3/22/26 6:03 PM,3/22/26 6:00 PM,1400000004827045341,Theofilos Adalis,21,Dining Room,Dinner,,1400000004827160586,1400000001509788642,1400000001509788643,,,#2,1400000001509788631,Seat numbers,1400000000913493108,Kebab,,0.00,0.00,0.00,2.0,false,,
3017 31st street.,1400000004827045343,10,3/22/26 6:03 PM,3/22/26 6:00 PM,1400000004827045341,Theofilos Adalis,21,Dining Room,Dinner,,1400000004827160591,1400000001509835291,1400000001509835292,,,#4,1400000001509788631,Seat numbers,1400000000913493100,Kokkinisto,,0.00,0.00,0.00,1.0,false,,
3017 31st street.,1400000004826543601,9,3/22/26 6:23 PM,3/22/26 5:44 PM,1400000004826543600,BAR BAR,B3,Bar,Dinner,,1400000004827829257,,,,,Dressng On Side,,,1400000000913111169,Greek Salad,,0.00,0.00,0.00,1.0,false,,
3017 31st street.,1400000004827962756,11,3/22/26 6:27 PM,3/22/26 6:27 PM,1400000004827962755,Theofilos Adalis,11,Dining Room,Dinner,,1400000004827960333,1400000000946162364,1400000000946162365,,,Tzatziki,1400000000946124025,TRIO CHOICE,1400000000913065082,TRIO,,0.00,0.00,0.00,1.0,false,,
3017 31st street.,1400000004827962756,11,3/22/26 6:27 PM,3/22/26 6:27 PM,1400000004827962755,Theofilos Adalis,11,Dining Room,Dinner,,1400000004827960334,1400000000946162368,1400000000946162369,,,Spicy Feta,1400000000946124025,TRIO CHOICE,1400000000913065082,TRIO,,0.00,0.00,0.00,1.0,false,,
3017 31st street.,1400000004827962756,11,3/22/26 6:27 PM,3/22/26 6:27 PM,1400000004827962755,Theofilos Adalis,11,Dining Room,Dinner,,1400000004827960335,1400000000946162372,1400000000946162373,,,Houmous,1400000000946124025,TRIO CHOICE,1400000000913065082,TRIO,,0.00,0.00,0.00,1.0,false,,
3017 31st street.,1400000004827962756,11,3/22/26 6:39 PM,3/22/26 6:27 PM,1400000004827962755,Theofilos Adalis,11,Dining Room,Dinner,,1400000004828370171,1400000000922860651,1400000000922860652,,,MEDIUM,1400000000922781062,Temperatures,1400000000913493104,Fillet Mignon Petit,,0.00,0.00,0.00,2.0,false,,
3017 31st street.,1400000004827962756,11,3/22/26 6:39 PM,3/22/26 6:27 PM,1400000004827962755,Theofilos Adalis,11,Dining Room,Dinner,,1400000004828370172,1400000000922860655,1400000000922860656,,,MEDIUM WELL,1400000000922781062,Temperatures,1400000000913493104,Fillet Mignon Petit,,0.00,0.00,0.00,2.0,false,,
3017 31st street.,1400000004827962756,11,3/22/26 6:39 PM,3/22/26 6:27 PM,1400000004827962755,Theofilos Adalis,11,Dining Room,Dinner,,1400000004828370173,1400000001509788634,1400000001509788635,,,#Share,1400000001509788631,Seat numbers,1400000000913493104,Fillet Mignon Petit,,0.00,0.00,0.00,2.0,false,,
3017 31st street.,1400000004827962756,11,3/22/26 6:39 PM,3/22/26 6:27 PM,1400000004827962755,Theofilos Adalis,11,Dining Room,Dinner,,1400000004828370178,1400000000922860655,1400000000922860656,,,MEDIUM WELL,1400000000922781062,Temperatures,1400000000913492848,Lamb Chops,,0.00,0.00,0.00,1.0,false,,
3017 31st street.,1400000004827962756,11,3/22/26 6:39 PM,3/22/26 6:27 PM,1400000004827962755,Theofilos Adalis,11,Dining Room,Dinner,,1400000004828370179,1400000001509788634,1400000001509788635,,,#Share,1400000001509788631,Seat numbers,1400000000913492848,Lamb Chops,,0.00,0.00,0.00,1.0,false,,
3017 31st street.,1400000004827962756,11,3/22/26 6:39 PM,3/22/26 6:27 PM,1400000004827962755,Theofilos Adalis,11,Dining Room,Dinner,,1400000004828370184,1400000001509788634,1400000001509788635,,,#Share,1400000001509788631,Seat numbers,1400000000913492838,Lobster Pasta 1,,0.00,0.00,0.00,1.0,false,,
3017 31st street.,1400000004827962756,11,3/22/26 6:39 PM,3/22/26 6:27 PM,1400000004827962755,Theofilos Adalis,11,Dining Room,Dinner,,1400000004828370189,1400000001509788634,1400000001509788635,,,#Share,1400000001509788631,Seat numbers,1400000000913493108,Kebab,,0.00,0.00,0.00,1.0,false,,
3017 31st street.,1400000004828836657,13,3/22/26 6:54 PM,3/22/26 6:53 PM,1400000004828836656,Theofilos Adalis,24,Dining Room,Dinner,,1400000004828836342,1400000000923175605,1400000000923175606,,,Sub Roasted Potatoes,1400000000922781060,Main Subs,1400000000913492824,Branzino,,0.00,0.00,0.00,1.0,false,,
